Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Attachment,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Approvals),Custom field (Atlassian Project),Custom field (Atlassian project),Custom field (Atlassian project status),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Comments),Custom field (Delivery progress),Custom field (Delivery status),Custom field (Design file),Custom field (Designs ready),Custom field (Development),Custom field (Documents),Custom field (Effort),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Focus Areas),Custom field (Goals),Custom field (Idea archived),Custom field (Idea archived on),Custom field (Idea short description),Custom field (Impact),Custom field (Impact),Custom field (Insights),Custom field (Issue colour),Custom field (Linked items),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Project start),Custom field (Project target),Custom field (Rank),Custom field (Request Type),Custom field (Roadmap),Custom field (Score),Custom field (Sentiment),Custom field (Start date),Custom field (State),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Work item created forms),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Comment,Comment,Parent,Parent key,Parent summary,Status Category,Status Category Changed
Game Start & Initial State,BG-1,10006,Epic,Done,BG,Bird Game QA Project,software,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,,Medium,Done,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,8/7/2026 13:57,8/10/2026 22:04,8/7/2026 15:02,8/10/2026 22:04,,0,"Covers the initial state of the Bird Game and the functionality required to begin gameplay, including the initial display, idle state and supported controls for starting the game.",,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,,,,,,,,,,,,,,ApprovalsCFValue{approvals=[]},,,,,,,,,,,,,,,ghx-label-11,,To Do,,,,,,,,,teal,,,,,,,,0|i0001b:,,,,,,,,,,,,,,,,10007_*:*_1_*:*_0_*|*_10006_*:*_1_*:*_288398978,,,,,,Done,8/10/2026 22:04
Bird Controls & Movement,BG-2,10007,Epic,Done,BG,Bird Game QA Project,software,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,,Medium,Done,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,8/7/2026 14:07,8/10/2026 22:04,8/7/2026 17:33,8/10/2026 22:04,,0,"Covers player control of the bird using keyboard, mouse and on-screen controls, including upward and downward movement, jumping and gravity behaviour.",,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,,,,,,,,,,,,,,ApprovalsCFValue{approvals=[]},,,,,,,,,,,,,,,ghx-label-14,,To Do,,,,,,,,,dark_orange,,,,,,,,0|i0001j:,,,,,,,,,,,,,,,,10007_*:*_1_*:*_0_*|*_10006_*:*_1_*:*_287837337,,,,,,Done,8/10/2026 22:04
 Obstacle Behaviour,BG-3,10008,Epic,Done,BG,Bird Game QA Project,software,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,,Medium,Done,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,8/7/2026 14:07,8/10/2026 22:04,8/7/2026 17:49,8/10/2026 22:04,,0,"Covers obstacle movement, obstacle recycling, randomisation of the opening position and the size and positioning of the obstacle opening.",,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,,,,,,,,,,,,,,ApprovalsCFValue{approvals=[]},,,,,,,,,,,,,,,ghx-label-2,,To Do,,,,,,,,,dark_yellow,,,,,,,,0|i0001r:,,,,,,,,,,,,,,,,10007_*:*_1_*:*_0_*|*_10006_*:*_1_*:*_287813626,,,,,,Done,8/10/2026 22:04
Scoring,BG-4,10009,Epic,Done,BG,Bird Game QA Project,software,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,,Medium,Done,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,8/7/2026 14:07,8/10/2026 22:04,8/7/2026 18:07,8/10/2026 22:04,,0,"Covers the Bird Game scoring behaviour, including the starting score, awarding points when an obstacle is successfully passed, preventing duplicate scoring and displaying the current score.",,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,,,,,,,,,,,,,,ApprovalsCFValue{approvals=[]},,,,,,,,,,,,,,,ghx-label-12,,To Do,,,,,,,,,grey,,,,,,,,0|i0001z:,,,,,,,,,,,,,,,,10007_*:*_1_*:*_0_*|*_10006_*:*_1_*:*_287792525,,,,,,Done,8/10/2026 22:04
Collision & Game Over,BG-5,10010,Epic,Done,BG,Bird Game QA Project,software,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,,Medium,Done,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,8/7/2026 14:08,8/10/2026 22:04,8/7/2026 18:21,8/10/2026 22:04,,0,"Covers collision detection with obstacles and game boundaries, safe passage through the obstacle opening, and the behaviour of the game after Game Over",,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,,,,,,,,,,,,,,ApprovalsCFValue{approvals=[]},,,,,,,,,,,,,,,ghx-label-4,,To Do,,,,,,,,,dark_blue,,,,,,,,0|i00027:,,,,,,,,,,,,,,,,10007_*:*_1_*:*_0_*|*_10006_*:*_1_*:*_287762760,,,,,,Done,8/10/2026 22:04
Restart,BG-6,10011,Epic,Done,BG,Bird Game QA Project,software,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,,Medium,Done,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,8/7/2026 14:08,8/10/2026 22:04,8/7/2026 18:29,8/10/2026 22:04,,0,"Covers restarting the Bird Game after Game Over, including resetting the score, bird position, obstacle state, start instructions and returning the game to its initial idle state.",,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,,,,,,,,,,,,,,ApprovalsCFValue{approvals=[]},,,,,,,,,,,,,,,ghx-label-5,,To Do,,,,,,,,,dark_teal,,,,,,,,0|i0002f:,,,,,,,,,,,,,,,,10007_*:*_1_*:*_0_*|*_10006_*:*_1_*:*_287746178,07/Aug/26 6:26 PM;712020:31d0c1d1-693d-4aed-b192-4562fff4a957;🎉 Looks good!,,,,,Done,8/10/2026 22:04
Compatibility & Responsiveness,BG-7,10012,Epic,Done,BG,Bird Game QA Project,software,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,,Medium,Done,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,8/7/2026 14:08,8/10/2026 22:04,8/7/2026 18:39,8/10/2026 22:04,,0,"Covers browser compatibility and usability across supported screen sizes, including Google Chrome, Microsoft Edge, Mozilla Firefox and availability of the on-screen controls on smaller screens",,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,,,,,,,,,,,,,,ApprovalsCFValue{approvals=[]},,,,,,,,,,,,,,,ghx-label-1,,To Do,,,,,,,,,dark_grey,,,,,,,,0|i0002n:,,,,,,,,,,,,,,,,10007_*:*_1_*:*_0_*|*_10006_*:*_1_*:*_287727701,,,,,,Done,8/10/2026 22:04
Display the initial game state,BG-8,10013,Story,Done,BG,Bird Game QA Project,software,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,,Medium,Done,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,8/7/2026 14:23,8/10/2026 21:57,8/7/2026 14:28,8/10/2026 21:57,,0,"*User Story*

As a player, I want to see the initial game state when I open the game so that I know the game is ready to be played.

*Requirement Reference*

BR-FR-001

*Acceptance Criteria*

# The bird is visible when the game first opens.
# The first obstacle is visible when the game first opens.
# The score displays 0 when the game first opens.
# Short instructions explaining how to start the game are visible when the game first opens.",,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,,,,,,,,,,,,,,ApprovalsCFValue{approvals=[]},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0002v:,,,,,,,,,,,,,,,,10007_*:*_1_*:*_0_*|*_10006_*:*_1_*:*_286472567,,,10006,BG-1,Game Start & Initial State,Done,8/10/2026 21:57
Keep the game idle until the player starts,BG-9,10014,Story,Done,BG,Bird Game QA Project,software,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,,Medium,Done,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,8/7/2026 14:48,8/10/2026 21:57,8/7/2026 15:12,8/10/2026 21:57,,0,"*User Story*
As a player, I want the game to remain idle until I choose to start so that gameplay does not begin before I am ready.

*Requirement Reference*
{{BR-FR-002}}

*Acceptance Criteria*

# The game remains idle when it first opens.
# The bird does not begin gameplay movement before a supported control is used.
# The obstacle does not begin moving before a supported control is used.
# Gameplay begins only after the player uses a supported control.",,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,,,,,,,,,,,,,,ApprovalsCFValue{approvals=[]},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00033:,,,,,,,,,,,,,,,,10007_*:*_1_*:*_0_*|*_10006_*:*_1_*:*_284947467,,,10006,BG-1,Game Start & Initial State,Done,8/10/2026 21:57
Start the game using supported controls,BG-10,10015,Story,Done,BG,Bird Game QA Project,software,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,,Medium,Done,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,8/7/2026 15:02,8/10/2026 21:57,8/7/2026 15:03,8/10/2026 21:57,,0,"*User Story:*
As a player, I want to start the game using any supported control so that I can begin gameplay using my preferred input method.

*Requirement Reference:*
{{BR-FR-003}}

*Acceptance Criteria:*

# Pressing the Up Arrow can start the game.
# Pressing the Down Arrow can start the game.
# Pressing Space can start the game.
# Clicking inside the game area can start the game.
# Pressing either on-screen control button can start the game.
# Once a supported control is used, gameplay begins.",,Alex Fatogun,712020:31d0c1d1-693d-4aed-b192-4562fff4a957,,,,,,,,,,,,,,ApprovalsCFValue{approvals=[]},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0003b:,,,,,,,,,,,,,,,,10007_*:*_1_*:*_0_*|*_10006_*:*_1_*:*_284092331,,,10006,BG-1,Game Start & Initial State,Done,8/10/2026 21:57
